CID,BW,Format,Vendor,VCID,A End,Z End,Note
SHI/CT-SJC/CT 100G005*IP,100,OTU4,Century Link,"ETH100GB-23329442-DIV,Original: OTU4-22832325-DIV","Hill, OR",SJC,
Dallas/CTUSA-LAX/CTUSA 64V4C001*TD,10,STM64,Zayo,OGYX/156270//ZYO,LA,"Dallas, TX",
WDC-NYC OTN100G-2(IOTNhw),100,OTU4,Zayo,OQYX/156264//ZYO,"Ashburn, VA","New York, NY",
LAX-SJC OTN100G-4(IOTNhw),100,OTU4,Zayo,"PL/KJLD/867306//ELG,OQYX/156300//ZYO","San Jose, CA",LA,
HIL-SJC OTN100G-1(IOTNhw),100,OTU4,Zayo,"PL/OMDD/867273//ELG,OQYX/867273//ZYO","San Jose, CA",Hillsboro,
HIL-LAX OTN100G-1(IOTNhw),100,OTU4,Zayo,PL/OMDD/867373//ELG,LA,Hillsboro,
LAX-SJC OTN100G-3(IOTNhw),100,OTU4,Teliasonera,IC-328388/IC-332401,LA,SJC,
WDC-SJC OTN100G-2(IOTNhw),100,OTU4,Windstream,WS/KJUS/135397/ / WXN/,WDC,SJC,
SHI/CT-LAX/CT 100G002*IP,100,100GE,Century Link,ETH100GB-23328914-DIV,"Hill, OR",SJC,
LAX/CTUSA-SJC/CTUSA 100G006*TD,100,OTU4,Zayo,OQYX/231427//ZYO,LA,SJC,LAX-SJC OTN100G-5(IOTNhw)
DEN/CTUSA-SJC/CTUSA 100G001*TD,100,OTU4,Teliasonera,IC-339968 ,Denver,SJC,
Hillsboro/CTUSA-LAX/CTUSA 100G003*TD,100,OTU4,Century Link,440852191,"Hill, OR",LA,HIL-LAX OTN100G-2(IOTNhw)
Hillsboro/CT-SJC/CT 100G002*TD,100,OTU4,Century Link,440964554,"Hill, OR",SJC,
Hillsboro/CT-Hillsboro/CT 100G001*TD,100,OTU4,Century Link,440964616,"Hill, OR",Hillsboro,
Hillsboro/CTUSA-SJC/CTUSA 100G003*TD ,100,OTU4,Century Link,440870440,"Hill, OR",SJC,HIL-SJC OTN100G-2(IOTNhw)
Hillsboro/CT-LAX/CT 100G002*TD,100,OTU4,Century Link,440964639,"Hill, OR",LA,
LAX/CTUSA-MIA/CTUSA 100G002*TD ,100,OTU4,Teliasonera,IC-339969,LA,"Miami, FL",LAX-MIA OTN100G-2(IOTNhw)
LAX/CTUSA-WDC/CTUSA 100G002*TD,100,OTU4,Teliasonera,IC-339967,LA,WDC,WDC-LAX OTN100G-2(IOTNhw)
CHI/CTUSA-SEA/CTUSA 100G001*TD,100,OTU4,Cogent,3-001557953 ,"Seattle, WA","Chicago, IL",CHI-SEA OTN100G-1(IOTNhw)
SJC/CTUSA-WDC/CTUSA 100G004*TD,100,OTU4,Century Link,441870051,SJC,WDC,
CHI-NYC OTN100G-2(IOTNhw),100,OTU4,GTT,GTT/001770754,Chicago,"New York, NY",
NYK/CTUSA-WDC/CTUSA 100G004*TD,100,OTU4,Sprint,928659969,"Ashburn, VA","New York, NY",
LAX/CTUSA-MIA/CTUSA 100G003*TD,100,OTU4,Verizon,W1D86682,"Los Angeles, CA","Miami, FL",LAX-MIA OTN100G-3(IOTNhw)
LAX/CTUSA-WDC/CTUSA 100G003*TD,100,OTU4,Verizon,W1E69080  ,"Los Angeles, CA","Ashburn, VA",
LAX/CTUSA-NYK/CTUSA 100G003*TD,100,OTU4,Verizon,W1E16891,"Los Angeles, CA","New York, NY",
SJC/CTUSA-WDC/CTUSA 100G005*TD,100,OTU4,Verizon,W1E16892,SJC,"Ashburn, VA",
LAX/CTUSA-NYK/CTUSA GE100L002*TD,100,100GE,Winstream,WS.OMUS.965842,"Los Angeles, CA","New York, NY",
CHI/CTUSA-SJC/CTUSA 100G002*TD,100,OTU4,Zayo,OQYX/299513//ZYO,"San Jose, CA","Chicago, IL",CHI-SJC OTN100G-2(IOTNhw)
LAX/CTUSA-WDC/CTUSA 100G004*TD,100,OTU4,Zayo,OQYX/299514//ZYO,"Los Angeles, CA",WDC,
NYK/CTUSA-SJC/CTUSA GE100L001*TD,100,100GE,Zayo,OQYX/299512//ZYO,"New York, NY","San Jose, CA",
LAX/CTUSA-NYC/CTUSA 64V4C001,10,STM64,XO,"SA/OGGS/632561//TQW,O0000125","Los Angeles, CA","New York, NY",close
 CHICAGO/CTUSA-TORONTO/CTUSA 16V4C001(W),2.5,STM16,Level 3,BBLL7719,Toronto,"Chicago, IL",
CHICAGO/CTUSA-DALLAS/CTUSA 16V4C001,2.5,STM16,Century Link,OC48-15681720,"Chicago, IL","Dallas, TX",
Dallas/CTUSA-LAX/CTUSA 16V4C001,2.5,STM16,Level 3,FRO2004478645W48,"Dallas, TX","Los Angeles, CA",
SJC/CTUSA-CHI/CTUSA 16V4C001(W),2.5,STM16,Century Link,OC48-16233697,"San Jose, CA","Chicago, IL",
SJC/CTUSA-CHI/CTUSA 16V4C001(P),2.5,STM16,Century Link,OC48-16233698,"San Jose, CA","Chicago, IL",
NYC/CTUSA-CHI/CTUSA 16V4C001(P),2.5,STM16,Century Link,OC48-16233787-DIV,"New York, NY","Chicago, IL",
NYC/CTUSA-CHI/CTUSA 16V4C001(W),2.5,STM16,Century Link,OC48-16233789-DIV,"New York, NY","Chicago, IL",
DAL/CTUSA-MIA/CTUSA 16V4C001(P),2.5,STM16,Century Link,OC48-16233790-DIV,"Miami, FL","Dallas, TX",
DAL/CTUSA-MIA/CTUSA 16V4C001(W),2.5,STM16,Century Link,OC48-16233792-DIV,"Miami, FL","Dallas, TX",
GZU/CT-LAX/CT 16V4C001*TD,2.5,STM16,Level 3,BBDC3477,"Los Osos, CA","Los Angeles, CA",
LAX/CTUSA-MorroBay(JUS)/CTUSA 16V4C001(W),2.5,STM16,Lumen,442701630,"Los Osos, CA","Los Angeles, CA",
SHI/CT-SJC/CT 16V4C009 (NedonnaBeach(TPE)/CTUSA-SJC/CTUSA 16V4C001*TD),2.5,STM16,Verizon,WX 78979 00100,"Hill, OR","San Jose, CA",
NedonnaBeach(TPE)/CTUSA-SEA/CTUSA 16V4C001,2.5,STM16,Verizon,IPLS79037/PLBJ0HB60001,"Hill, OR","SEA, WA",
CHI/CTUSA-Hillsboro/CTUSA 16V4C001,2.5,STM16,Level 3,BCFX8661,"Hillsboro, OR","Chicago, IL",
MIA/CTUSA-SAO/CTUSA 64V4C002*TD,10,STM64,Globenet,CTA6041E010G#3 ,"Miami, FL",Sao Paulo,
MIA/CTUSA-SAN PAULO/CTUSA 64V4C001*TD,10,10GE,Sparkle,CTA001UMI2SP4NN,"Miami, FL",Sao Paulo,
NYK/CTUSA-SAO/CTUSA 64V4C001*CN2 (NYC/CTUSA-SanPaulo/CTUSA 64V4C001*CN2),10,10GE,Seabras,CHT-SBNY2-SBSP2-ODU2-0001-00,NY,Sao Paulo,
CHI/CTUSA-CME/CTUSA 64V4C001,10,STM64,CrownCastle,132021-192-AURRILIL-CHCGILDT,"Chicago, IL","Chicago, IL",
Bandon/CT-LAX/CT GE100L002*TD,100,100GE,Level 3,441318343,"Bandon, OR",LA,
CHM/CT-LAX/CT GE100L007*TD,100,100GE,Level 3,441318344,"Bandon, OR",LA,
QDA/CT-SJC/CT GE100L004*TD,100,100GE,Level 3,441318359,"Bandon, OR","San Jose, CA",
Bandon/CT-Hillsboro/CT GE100L001*TD,100,100GE,Level 3,441228414,"Bandon, OR","Hillsboro,OR",
Qiancang-SJC OTN100G-1(IOTNhw),100,OTU4,Level 3,441318360,"Bandon, OR","San Jose, CA",
NYC/CT-NYC/CT GE001*GSP,1,GE,Verizon,W1D87936/W1D87947/W1D88042,"New York, NY","New York, NY",
BOS/CT-NYC/CT 10GE001*GSP,10,OUD2,Verizon,SW1D82495,"New York, NY",Boston,
WDC/CTUSA-LAX/CTUSA 100G003*TD,100,OTU4,Verizon,"W1E24020,W1E69118",,,WDC-LAX OTN100G-3(IOTNhw)
SanPaulo/CTUSA-SanPaulo/TIM 64V4C001*CN2,,,,"BREDIP230579,BREDIP230580",,,
SAO/CTUSA-NYC/CTUSA 64V4C001,10,STM-64,Globenet,CTA6021WAV#1,,,NYC/CTUSA-SAN PAULO/CTUSA 64V4C001*TD
CHI/CTUSA-TOR/CTUSA 10GE001(W)*GSP,10,,Lumen,445598145,,,
